iter	Passed	Remaining
801	1356	334
802	1356	332
803	1357	331
804	1358	329
805	1359	327
806	1360	325
807	1361	323
808	1362	321
809	1363	319
810	1365	318
811	1367	316
812	1369	314
813	1369	312
814	1371	311
815	1372	309
816	1374	307
817	1375	306
818	1377	304
819	137822	13820	1379	300
821	138824	13822	138825	13823	138826	13824	138827	13825	138828	13826	138829	13827	138830	13828	138831	13829	139832	13830	139833	1375	273
834	1376	271
835	1377	270
836	1378	268
837	13835	139838	1382	265
839	13837	140840	1384	261
841	1385	260
842	1387	258
843	1388	256
844	1389	254
845	1390	253
846	1391	251
847	1393	249
848	1394	248
849	1395	246
850	1398	244
851	1400	243
852	1401	241
853	1402	239
854	1403	238
855	1404	236
856	1406	234
857	1407	232
858	1408	231
859	1409	229
860	1410	227
861	1413	226
862	1414	224
863	1415	222
864	1417	221
865	1418	219
866	1419	217
867	1420	216
868	1421	214
869	1423	212
870	1424	210
871	1425	209
872	1426	207
873	1428	205
874	1430	204
875	1431	202
876	1432	200
877	1433	199
878	1435	197
879	1436	195
880	1437	194
881	1438	192
882	1439	190
883	1440	189
884	1441	187
885	1443	1884886	1445	1885887	1446	1886888	1447	1887889	1448	1888890	1449	1889891	1450	1890892	1452	1891893	1453	1892894	1454	1893	1469	174
894896	1457	1895897	1460	1896898	1461	1897899	1462	1898900	1464	1899901	1465	1900902	1466	1901903	1467	1902904	1468	1903905	1470	1904906	1471	1905907	1472	1906908	1473	1907909	1476	1908910	1477	1909911	1478	1910912	1479	1911913	1480	1912914	1481	1913915	1482	1914916	1484	1915917	1485	1916918	1486	1917919	1488	1918920	1490	1919	1504	130
920922	1494	1921923	1495	1922924	1497	1923925	1498	1924926	1500	118
927	1501	116
928	1502	1927929	1504	1928930	1506	111
931	1507	110
932	1508	1931933	1510	1932934	1511	1933935	1512	1934936	1513	1935937	1514	1936938	1515	993939	1517	969940	1518	959941	1519	939942	1521	919943	1522	909944	1524	889945	1525	879946	1526	859947	1528	83
948	1529	82
949	1530	80
950	1532	78
951	1533	77
952	1534	75
953	1535	74
954	1538	72
955	1539	70
956	1540	69
957	1541	67
958	1543	65
959	1544	64
960	1545	62
961	1546	61
962	1547	59
963	1549	57
964	1551	56
965	1555	54
966	1556	53
967	1558	51
968	1559	49
969	1561	48
970	1562	46
971	1563	45
972	1564	43
973	1565	41
974	1567	40
975	1569	38
976	1571	36
977	1572	35
978	1573	33
979	1574	32
980	1575	30
981	1577	28
982	1578	27
983	1579	25
984	1580	24
985	1582	22
986	1584	20
987	1586	19
988	1587	17
989	1589	16
990	1590	14
991	1591	12
992	1593	11
993	1594	9
994	1595	8
995	1596	6
996	1597	4
997	1599	3
998	1600	1
999	1602	0

998	1613	1
999	1614	0
9	1611	0
